Title,Status,Phase,Workstream,Component,Priority,Type,Assigned To,Target Weeks,Notes
Freeze ObsEvent model + 50-type EventType enum,Doing,Phase 0 — Foundation,"WS-A, WS-X",observability-iac,High,Build,,Weeks 1–3,
Create Kafka topics (raw / processed / dead-letter),Doing,Phase 0 — Foundation,"WS-A, WS-X",observability-iac,High,Build,,Weeks 1–3,
Apply PostgreSQL observability schema + seed catalogs,Doing,Phase 0 — Foundation,"WS-A, WS-X",observability-iac,High,Build,,Weeks 1–3,
Apply PostgreSQL obs_events schema (ahead of a future warehouse),Doing,Phase 0 — Foundation,"WS-A, WS-X",observability-iac,High,Build,,Weeks 1–3,
Apply Elasticsearch index templates + ILM via IaC,Doing,Phase 0 — Foundation,"WS-A, WS-X",observability-iac,High,Build,,Weeks 1–3,
Create S3 buckets + lifecycle (SSE-KMS),Doing,Phase 0 — Foundation,"WS-A, WS-X",observability-iac,High,Build,,Weeks 1–3,
Confirm interim Redis stand-ins (Postgres budget_accumulator + in-process TTL cache),Doing,Phase 0 — Foundation,"WS-A, WS-X",observability-iac,High,Verify,,Weeks 1–3,
Scaffold observability-iac CI pipeline,Doing,Phase 0 — Foundation,"WS-A, WS-X",observability-iac,High,Build,,Weeks 1–3,
Provision Grafana Tempo (S3 backend) + Prometheus + kminion + Fluent Bit DaemonSet,Doing,Phase 0 — Foundation,"WS-A, WS-X",observability-iac,High,Build,,Weeks 1–3,
Apply to a real environment,Todo,Phase 0 — Foundation,"WS-A, WS-X",observability-iac,High,Build,,Weeks 1–3,Open remaining work in observability-iac/
CI dry-run against live Postgres,Todo,Phase 0 — Foundation,"WS-A, WS-X",observability-iac,High,Build,,Weeks 1–3,Open remaining work in observability-iac/
Secrets per env,Todo,Phase 0 — Foundation,"WS-A, WS-X",observability-iac,High,Build,,Weeks 1–3,Open remaining work in observability-iac/
emit_event() confluent-kafka fire-and-forget producer,Doing,Phase 1 — Shared SDK,WS-B,ai-observability-sdk,High,Build,,Weeks 3–6,
init_tracing() OTEL + W3C traceparent + Grafana Tempo OTLP,Doing,Phase 1 — Shared SDK,WS-B,ai-observability-sdk,High,Build,,Weeks 3–6,
configure_logging() structlog JSON + contextvars,Doing,Phase 1 — Shared SDK,WS-B,ai-observability-sdk,High,Build,,Weeks 3–6,
"ObservabilityMiddleware (binds correlation_id, exposes /metrics)",Doing,Phase 1 — Shared SDK,WS-B,ai-observability-sdk,High,Build,,Weeks 3–6,
@trace_llm / @trace_rag / @trace_agent / @trace_tool decorators,Doing,Phase 1 — Shared SDK,WS-B,ai-observability-sdk,High,Build,,Weeks 3–6,
get_prompt() prompt registry fetch + prompt_hash,Doing,Phase 1 — Shared SDK,WS-B,ai-observability-sdk,High,Build,,Weeks 3–6,
Unit + contract tests; CI gate on schema validation,Doing,Phase 1 — Shared SDK,WS-B,ai-observability-sdk,High,Build,,Weeks 3–6,
Publish 0.1.0,Todo,Phase 1 — Shared SDK,WS-B,ai-observability-sdk,High,Build,,Weeks 3–6,Open remaining work in ai-observability-sdk/
COIN-JWT claim extraction,Todo,Phase 1 — Shared SDK,WS-B,ai-observability-sdk,High,Build,,Weeks 3–6,Open remaining work in ai-observability-sdk/
Pricing review,Todo,Phase 1 — Shared SDK,WS-B,ai-observability-sdk,High,Build,,Weeks 3–6,Open remaining work in ai-observability-sdk/
"Instrument Agentic Orchestration — LLM cost/tokens, agent events",Backlog,Phase 2 — Instrumentation,WS-C,Agentic Orchestration,High,Build,,Weeks 4–8,
"Instrument Agent Executor — numeric latency_ms, estimated_cost, finish_reason",Backlog,Phase 2 — Instrumentation,WS-C,Agent Executor,High,Build,,Weeks 4–8,
